Date,Open,High,Low,Close,Adj Close,Volume
1966-07-01,0.000000,0.291152,0.234568,0.242798,0.002675,9110400
1966-08-01,0.000000,0.246914,0.171811,0.193416,0.002131,7364800
1966-09-01,0.000000,0.197531,0.171811,0.172840,0.001904,4312800
1966-10-01,0.000000,0.182099,0.152263,0.164609,0.001814,7379200
1966-11-01,0.000000,0.195473,0.157407,0.167695,0.001848,9719200
1966-12-01,0.000000,0.253086,0.168724,0.232510,0.002562,16276800
1967-01-01,0.000000,0.295267,0.232510,0.281893,0.003106,24656000
1967-02-01,0.000000,0.319959,0.269547,0.312757,0.003446,42192800
1967-03-01,0.000000,0.374486,0.315844,0.353909,0.003899,19449600
1967-04-01,0.000000,0.427984,0.337449,0.406379,0.004477,18788800
1967-05-01,0.000000,0.452675,0.399177,0.402263,0.004432,15688800
1967-06-01,0.000000,0.483539,0.383745,0.450617,0.004965,16720000
1967-07-01,0.000000,0.547325,0.450617,0.525720,0.005792,25476000
1967-08-01,0.000000,0.526749,0.468107,0.485597,0.005350,15299200
1967-09-01,0.000000,0.539095,0.449588,0.539095,0.005939,27117600
1967-10-01,0.000000,0.646091,0.524691,0.604938,0.006665,31938400
1967-11-01,0.000000,0.631687,0.543210,0.631687,0.006959,17628000
1967-12-01,0.000000,0.798354,0.632716,0.709877,0.007821,16068000
1968-01-01,0.000000,0.753086,0.625514,0.641975,0.007073,47452000
1968-02-01,0.000000,0.666667,0.600823,0.600823,0.006619,13557600
1968-03-01,0.000000,0.680041,0.548354,0.668724,0.007367,16125600
1968-04-01,0.000000,0.851852,0.691358,0.849794,0.009362,23060800
1968-05-01,0.000000,0.965021,0.413580,0.474280,0.005225,30568000
1968-06-01,0.000000,0.537037,0.444444,0.447531,0.004944,25238400
1968-07-01,0.000000,0.489712,0.430041,0.442387,0.004887,29727200
1968-08-01,0.000000,0.451646,0.400206,0.444444,0.004910,19947200
1968-09-01,0.000000,0.502058,0.425926,0.495885,0.005478,19814400
1968-10-01,0.000000,0.519547,0.473251,0.484568,0.005353,20483200
1968-11-01,0.000000,0.497942,0.454733,0.492798,0.005444,12482400
1968-12-01,0.000000,0.553498,0.479424,0.530864,0.005865,23024000
1969-01-01,0.000000,0.534979,0.477366,0.507202,0.005603,20227200
1969-02-01,0.000000,0.511317,0.452675,0.456790,0.005046,13914400
1969-03-01,0.000000,0.485597,0.399177,0.484568,0.005353,25497600
1969-04-01,0.000000,0.543210,0.461934,0.532922,0.005887,23732800
1969-05-01,0.000000,0.579218,0.510288,0.560700,0.006194,15296800
1969-06-01,0.000000,0.584362,0.246914,0.251029,0.002773,26469600
1969-07-01,0.000000,0.261317,0.213992,0.236626,0.002614,36224800
1969-08-01,0.000000,0.279835,0.230453,0.276749,0.003057,24659200
1969-09-01,0.000000,0.304527,0.257202,0.286008,0.003160,44227200
1969-10-01,0.000000,0.334362,0.272634,0.328189,0.003626,36920000
1969-11-01,0.000000,0.365226,0.323045,0.353909,0.003910,26040800
1969-12-01,0.000000,0.353909,0.318930,0.350823,0.003876,32857600
1970-01-01,0.353909,0.376543,0.305556,0.310700,0.003432,45377600
